slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
yield-yak-staked-avax,4195352.0,440093.0,0.8950998628958905,-0.27857345422296825,-0.44501108479680396,0.5480299030925675,1214,426,1216,alive,Yield Yak Staked Avax,Liquid Staking,True
geode,4458586.0,437562.0,0.9018608141684381,-0.27787377235587196,-0.44737563321634116,0.5436825421413632,1245,424,1247,alive,Geode,Liquid Staking,True
fortifi,1653805.0,395702.0,0.7607323717125054,-0.1822020237091414,-0.3187881855319764,0.3266345808277413,665,236,667,alive,FortiFi,Yield Aggregator,True
salvor,4952545.0,272577.0,0.9449622365874515,-0.3974845269672856,-0.5865275369705464,0.5530163303212627,753,234,755,alive,Salvor,NFT Marketplace,True
snowball,963134.0,0.0,1.0,-0.9995114802149487,-0.9995274102079396,1.1981154039724062,1392,672,1385,alive,Snowball,Yield,True
seafi,5036291.0,237497.0,0.9528428758385884,-0.4061852267641448,-0.6876571590897135,0.9138005478465724,735,255,737,alive,SeaFi,Yield,True
arena-socialfi,2780347.0,183533.0,0.9339891747325064,-0.34459867229933616,-0.5536168577529806,0.4146889137102107,881,450,883,alive,Arena SocialFi,SoFi,True
colony,15191028.0,334107.0,0.9780062942415747,-0.3748037537073942,-0.6574112146178652,0.7598246300556302,863,456,865,alive,Colony,Yield,True
penguin-finance,27791653.0,11324.0,0.9995925395297646,-0.25222845823704193,-0.4339481181586445,4.136853072068175,1534,825,1536,alive,Penguin Finance,Yield,True
defrost,12105222.0,0.0,1.0,0.0,0.0,4.294740167564978,1519,287,1520,alive,Defrost,CDP,True
hubble-exchange,4744985.0,78174.0,0.9835249215750945,-0.017507038005228234,-0.03582881105081401,1.6141744811747964,1296,686,1298,alive,Hubble Exchange,Derivatives,True
nereus-finance,32414877.0,69906.0,0.997843397647321,-0.047692349607672185,0.08248683803034995,1.8479427862874904,1460,757,1462,alive,Nereus Finance,Lending,True
goldstation-dex-v3,254975.0,59753.0,0.7656515344641631,-0.10641543292956483,-0.10769644297105994,0.38031376725453886,413,163,415,alive,GOLDSTATION DEX V3,Dexs,True
hunnyswap,725059.0,58357.0,0.919514136090994,-0.049513013453206946,-0.0940027634173226,0.9932649674406602,1334,684,1336,alive,HunnySwap,Dexs,True
frost-finance,23971.0,2440.0,0.8982103374911351,-0.07886792452830188,-0.15565548253199585,0.7449531302222172,1554,825,1556,alive,Frost Finance,Yield,True
flair-dex,2773431.0,48761.0,0.9824185278090567,-0.03107737551166395,-0.03485541238643786,1.7320599063959385,1068,590,1070,alive,Flair Dex,Dexs,True
lydia,24602373.0,47543.0,0.9980675441348686,-0.13439900957652115,-0.26491233495160643,2.1098762082649016,1770,552,1772,alive,Lydia,Dexs,True
platypus-finance,100378733.0,0.0,1.0,0.0,-0.999731255038968,2.887915849968226,1499,715,1499,alive,Platypus Finance,Dexs,True
hurricaneswap,4280259.0,0.0,1.0,0.0,0.0,2.600909533025204,1531,799,1533,alive,HurricaneSwap,Dexs,True
axial,3457807.0,0.0,1.0,0.0,0.0,3.6644291558591475,1561,377,1563,alive,Axial,Dexs,True
hedgefarm,478480.0,36360.0,0.9240093629827788,0.0001925510260218958,0.0001925510260218958,1.0621538353168902,1224,545,1226,alive,HedgeFarm,Yield,True
joe-stek,116570480.0,32006.0,0.999725436491297,-0.35841000661494976,-0.6946100928373105,2.3689297650507144,696,423,698,alive,Joe Stek,Farm,True
