name,category,tvl_usd,num_chains,avax_only,slug
Gyroscope Protocol,Dexs,1808656.589877135,10,False,gyroscope-protocol
Gro,Yield,1782520.445452371,2,False,gro
Pangolin V2,Dexs,1748389.4744693,4,False,pangolin-v2
LlamaPay,Payments,1543598.8311605249,22,False,llamapay
Messina Bridge,Cross Chain Bridge,1522510.2945710926,9,False,messina-bridge
EverRise,Cross Chain Bridge,1520782.7372869314,5,False,everrise
Stable Jack V1,Yield,1512012.5988234356,1,True,stable-jack-v1
ApeX Pro,Derivatives,1431820.0826897186,7,False,apex-pro
Arkham Exchange,CEX,1384976.3712105325,6,False,arkham-exchange
Suzaku,Restaking,1382774.6675385237,1,True,suzaku
Meson,Cross Chain Bridge,1353281.3746742974,44,False,meson
Bridgers,Dexs,1181639.9428078295,16,False,bridgers
TermFinance Lend,Lending,1175287.8437284671,4,False,termfinance-lend
CIAN Automation,Yield,1042654.6499423918,3,False,cian-automation
dForce Lending,Lending,1034843.2307136689,8,False,dforce-lending
KyberSwap Classic,Dexs,1029819.2161995844,15,False,kyberswap-classic
PumpSpace,Dexs,999966.568591949,1,True,pumpspace
Kine Finance,Yield,971975.0064554259,4,False,kine-finance
GOLDSTATION RWA,RWA,934817.7326760861,2,False,goldstation-rwa
Thetanuts Finance,Yield,933362.1430634124,11,False,thetanuts-finance
Opyn Gamma,Options,891913.8780493033,3,False,opyn-gamma
DefiEdge,Liquidity manager,878329.8333478232,14,False,defiedge
Meter Passport,Bridge,868338.3133790923,8,False,meter-passport
Sablier Flow,Payments,847685.9121259233,27,False,sablier-flow
Impermax V2,Lending,812379.6685747826,15,False,impermax-v2
GMD Protocol,Yield Aggregator,800617.8409714673,2,False,gmd-protocol
Pharaoh V3 Legacy,Dexs,793729.1014930023,1,True,pharaoh-v3-legacy
Phuture,Indexes,792708.7073193672,2,False,phuture
PoolTogether V4,Yield Lottery,753815.4743596639,4,False,pooltogether-v4
Mint Club V2,Launchpad,735319.0320676652,13,False,mint-club-v2
AquaBank,Yield,713874.9153646023,1,True,aquabank
