slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
deficurrent,DefiCurrent,Yield Aggregator,,,3.0,0,3,dead,avax_core,1,1,460,460,137.00868,423.7115,286.70282,0.32335369703206074,0.0,1.0,1,core_eligible,
defiedge,DefiEdge,Liquidity Manager,,,14.0,0,14,alive,avax_core,1,1,376,722,778.68256,878329.83335,877551.15079,0.0008865491418298527,4.0,1.0,1,core_eligible,
definitive-yield-vaults,Definitive Yield Vaults,Yield,,,6.0,0,6,alive,avax_core,1,1,756,756,6139.72513,43324.911230000005,37185.186100000006,0.14171350744161695,1.0,1.0,1,core_eligible,
defrost,Defrost,CDP,,defrost-finance,1.0,1,1,alive,avax_core,1,1,1567,1567,81395.44294,81395.44294,0.0,1.0,1.0,1.0,1,core_eligible,
deltaprime,DeltaPrime,Leveraged Farming,,prime-2,2.0,0,2,alive,avax_core,1,1,1080,1080,2603900.55404,4253515.1506199995,1649614.5965799997,0.6121761559167013,2.0,1.0,1,core_eligible,
dexalot-dex,Dexalot DEX,Dexs,parent#dexalot,,5.0,0,5,alive,avax_core,1,1,762,762,443342.88294,2783095.21066,2339752.32772,0.1592984965954014,5.0,1.0,1,core_eligible,
dexfinance-etf,DexFinance ETF,Yield,parent#dexfinance,,8.0,0,8,dead,avax_core,1,1,618,618,12.35042,4985.98702,4973.6366,0.0024770261034494233,0.0,1.0,1,core_eligible,
dexpad,DexPad,Launchpad,,dexpad,4.0,0,4,alive,avax_core,1,1,1346,1346,0.03492,33634.58079,33634.54587,1.0382171913491536e-06,1.0,1.0,1,core_eligible,
dexvaults,dexVAULTS,Yield,parent#dexfinance,,8.0,0,8,alive,avax_core,1,1,566,566,4.73207,15175.611589999999,15170.879519999999,0.00031182071127322525,0.0,1.0,1,core_eligible,
dforce-lending,dForce Lending,Lending,parent#dforce,,8.0,0,8,alive,avax_core,1,1,1361,1955,0.0,1036885.06964,1036885.06964,0.0,2.0,1.0,1,core_eligible,
