launch_trim_days,lifecycle_days,early_window_days_observed,data_points,log_start_tvl,log_peak_tvl,log_end_tvl,log_median_tvl,retention_ratio,drawdown_ratio,peak_day_frac,peak_day_ratio_by_span,auc_norm,slope_total_log,slope_post_log,vol_log_ret,mean_log_ret,downside_log_ret,crash_15_count,rebound_15_count,nonzero_day_frac,active_day_frac,stable_band_frac,rolling7_end_vs_peak,peak_to_median_log_gap,slug,name,category,current_status,structural_decay_label_v2,structural_decay_target_v2,history_source_mode,data_quality_score_v2,core_eligible,core_universe_status
0.0,1487.0,90.0,91.0,10.296340122593449,10.38612972782783,9.607638890751288,10.153934938377683,0.4752739028916961,0.54091834845399,0.5666666666666667,0.5666666666666667,0.9762220811531017,-0.0032305347530906877,-0.015958908050579354,0.05684573902496787,-0.00765223590935735,0.03613502446990953,1.0,1.0,1.0,1.0,0.7802197802197802,0.9432269224934215,0.2321947894501477,antimatter,Antimatter,Options,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1237.0,90.0,91.0,12.099528095847303,15.106942988801011,14.916211663534593,14.491815704344049,0.8264022491936643,0.1736454688065645,0.8888888888888888,0.8888888888888888,0.9085840091716815,0.04590576975961468,-0.01932892789568667,0.21629150486036533,0.031296484085414335,0.0735472973770367,4.0,7.0,1.0,1.0,0.5934065934065934,0.9869572260889447,0.6151272844569622,aperture-lm,Aperture LM,Liquidity Manager,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,557.0,90.0,91.0,11.473519134591136,12.548438196695022,12.384975866465643,12.027842706639472,0.8497314738160436,0.15080204790274593,0.011111111111111112,0.011111111111111112,0.9590582273030405,-0.004449562409587563,-0.0050198950434335535,0.1283928156739686,0.010127297020827855,0.028690276979800595,0.0,4.0,1.0,1.0,0.6153846153846154,0.9788386402497711,0.5205954900555501,apex-defi,Apex DeFi,Dexs,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,895.0,90.0,91.0,11.91415494880672,12.32060150319926,6.551080335043404,11.859277308585886,0.0075421275991263735,0.9968831933222752,0.7888888888888889,0.7888888888888889,0.952721823311333,-0.009665185128041423,-0.14312579224626124,0.566909193022192,-0.05561555743879444,0.541833641577394,7.0,10.0,1.0,0.978021978021978,0.978021978021978,0.84437767685581,0.4613241946133737,apex-pro,ApeX Pro,Derivatives,low_tvl_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,384.0,90.0,91.0,11.657069098050288,11.674074456531383,6.261491684321042,6.654152520183219,0.012853947757100056,0.9955483678767503,0.011111111111111112,0.011111111111111112,0.6824976090249133,-0.0662346464680283,-0.06570357373182792,0.34472319596210466,-0.05275904798594519,0.3438597728602262,3.0,0.0,1.0,0.2857142857142857,0.7142857142857143,0.5437065748353634,5.0199219363481635,apexswap,ApexSwap,Dexs,low_tvl_on_avax,censored,,avax_core,0.985205,1,core_eligible
0.0,122.0,90.0,91.0,13.612461258086457,13.67052524752318,13.51890613277539,13.55285535117717,0.8594778034118753,0.14068464360938415,0.25555555555555554,0.25555555555555554,0.9914983730306726,-0.0016110016997798664,-0.001684111271489872,0.022156549036481576,-0.0010395013923451854,0.012112955303740527,0.0,0.0,1.0,1.0,0.6263736263736264,0.9909631218648809,0.1176698963460101,aquabank,AquaBank,Yield,active_on_avax,censored,,avax_core,0.801096,1,core_eligible
0.0,1533.0,90.0,91.0,11.379165474790705,11.500812397086426,8.13505390861157,11.175156387814715,0.04420061125306879,0.9654739612328559,0.08888888888888889,0.08888888888888889,0.8985487270017481,-0.03301579477580198,-0.035306111766830135,0.47985618605780883,-0.03604568406865706,0.39892648756543825,3.0,1.0,1.0,0.6703296703296703,0.6703296703296703,0.7129105780463992,0.3256560092717109,ara-finance,Ara Finance,Reserve Currency,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1481.0,90.0,91.0,0.0,0.6931471805599453,0.0,0.0,0.999000999000999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,arable-protocol,Arable Protocol,Synthetics,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,740.0,90.0,91.0,1.0986122886681098,7.040536390215956,1.9459101490553132,6.859614903654202,0.4698738907052779,0.9947414548641542,0.05555555555555555,0.05555555555555555,0.8011946748440939,-0.03633227016344051,-0.057424662732667144,0.022802773423427677,0.0,0.012600363180861445,0.0,0.0,1.0,0.0,0.7032967032967034,0.27945667300611626,0.1809214865617541,archly-v2,Archly V2,Dexs,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,307.0,90.0,91.0,6.591673732008658,16.04642874313513,15.750159681867515,15.799589355958329,0.7436148464005444,0.25641269699394353,0.8555555555555555,0.8555555555555555,0.9461338867920472,0.036426994139471765,-0.018766281077354185,0.5056543332209071,0.09823783225058105,0.025279333738110137,0.0,11.0,1.0,0.978021978021978,0.9230769230769231,0.9924533292218293,0.2468393871768022,arena-dex,Arena DEX,Dexs,active_on_avax,censored,,avax_core,0.953151,1,core_eligible
